;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment
0;Fri Mar 16 00:22:18 +0000 2018;270225.0;974440685175754752;0.0;28965.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";41: I like the competition. And the loyalty to the home team. - 44 https://t.co/XG3ChMtW0M;0.7184
1;Thu Mar 15 23:16:02 +0000 2018;121044.0;974424008182689792;0.0;12558.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!;0.5983
2;Wed Mar 14 20:12:59 +0000 2018;260316.0;974015556675391488;0.0;39384.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Just because I have more time to watch games doesn’t mean my picks will be better, but here are my brackets this ye… https://t.co/gWpZwlceV3;0.2382
3;Wed Mar 14 14:58:59 +0000 2018;1402689.0;973936533320413184;0.0;271710.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Have fun out there among the stars. https://t.co/S285MTwGtp;0.5106
4;Mon Mar 12 18:12:41 +0000 2018;167073.0;973260504411058176;0.0;19075.0;"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>";Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians an… https://t.co/kneWyU2Tu1;0.3612
5;Wed Feb 28 02:58:41 +0000 2018;239086.0;968681836078608385;0.0;37574.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want… https://t.co/1ammpZayJx;0.552
6;Thu Feb 22 16:00:44 +0000 2018;1649372.0;966704319658647553;0.0;453775.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu… https://t.co/wXO3wBtJ8V;0.9192
7;Wed Feb 21 16:33:04 +0000 2018;258106.0;966350067287363584;0.0;35359.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t… https://t.co/V8WtgIRPEB;0.8442
8;Thu Feb 15 17:12:17 +0000 2018;1327595.0;964185606803853314;0.0;383276.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon… https://t.co/LWGSkzRapH;-0.5106
9;Wed Feb 14 16:25:03 +0000 2018;1526889.0;963811333685817346;0.0;245674.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Happy Valentine’s Day, @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm;0.765
10;Wed Feb 14 16:24:22 +0000 2018;0.0;963811162482728961;0.0;26856.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";RT @MichelleObama: Happy #ValentinesDay to my one and only, @BarackObama. To celebrate the occasion, I’m dedicating a little Valentine’s Da…;0.8126
