;Unnamed: 0;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment;topic_words
0;0;2018-03-16 01:49:47;33737;974462702264479744;False;7678;Twitter for iPhone;â€œPresident Donald J. Trump Delivers Remarks at the Shamrockâ˜˜ï¸�Bowl Presentation by Prime Minister Varadkar in the East Room of the White Houseâ€� ðŸ‡ºðŸ‡¸ðŸ‡®ðŸ‡ª https://t.co/ZbogpAE09g;0.0;['Varadkar', 't.co/ZbogpAE09g', 'Shamrockâ˜˜ï¸�Bowl']
1;1;2018-03-15 23:10:56;77409;974422724419444736;False;15140;Twitter for iPhone;Continuing to monitor the heartbreaking bridge collapse at FIU - so tragic. Many brave First Responders rushed in to save lives. Thank you for your courage. Praying this evening for all who are affected.;0.5263;['bridge', 'courage', 'heartbreaking']
2;2;2018-03-15 17:47:50;44671;974341417509249024;False;8144;Twitter for iPhone;It was my honor to welcome Prime Minister Leo Varadkar of Ireland to the @WhiteHouse! https://t.co/ZT3WnIZR2L;0.7574;['WhiteHouse', 'Minister', 'honor']
3;3;2018-03-15 17:47:34;0;974341347363745792;True;6324;Twitter for iPhone;RT @WhiteHouse: Yesterday, five @Cabinet Secretaries testified on the Hill on the need to rebuild our Nation's crumbling infrastructure. Prâ€¦;0.0;['WhiteHouse', 'Yesterday', 'infrastructure']
4;4;2018-03-15 13:29:25;65558;974276383051583488;False;14770;Twitter for iPhone;We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive). P.M. Justin Trudeau of Canada, a very good guy, doesnâ€™t like saying that Canada has a Surplus vs. the U.S.(negotiating), but they do...they almost all do...and thatâ€™s how I know!;0.3157;['Canada', 'U.S.', 'Trudeau']
5;5;2018-03-15 11:11:39;68781;974241711315709952;False;15425;Twitter for iPhone;"Larry Kudlow will be my Chief Economic Advisor as Director of the National Economic Council. Our Country will have many years of Great Economic &amp; Financial Success, with low taxes, unparalleled innovation, fair trade and an ever expanding labor force leading the way! #MAGA";0.8977;[' Economic', 'innovation', 'Success']
6;6;2018-03-15 04:31:47;58678;974141083054690304;False;13814;Twitter for iPhone;Please join me with your thoughts and prayers for both aviators, their families and our incredible @USNavy. https://t.co/60bHhrp8Y1;0.5423;['prayers', 'families', 't.co/60bHhrp8Y1']
7;7;2018-03-14 23:49:09;58761;974069957905428480;False;13444;Twitter for iPhone;It was wonderful to be back in Missouri where our push for historic TAX CUTS all began. Six months ago I promised that we would cut taxes to bring Main Street roaring back - and that is exactly what is happening! https://t.co/4kPofEii3i;0.3525;['TAX', 'months', 't.co/4kPofEii3i']
8;8;2018-03-14 22:36:12;60292;974051595834003456;False;12619;Twitter for iPhone;Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/CUutL5SZxQ;0.7290000000000001;['MAKING', 'GREAT', 'AGAIN']
9;9;2018-03-14 21:25:58;84160;974033924493111296;False;18937;Twitter for iPhone;Today the House took major steps toward securing our schools by passing the STOP School Violence Act. We must put the safety of America's children FIRST by improving training and by giving schools and law enforcement better tools. A tragedy like Parkland can't happen ever again!;0.3734;['schools', 'steps', 'law']
11;11;2018-03-14 14:37:36;77829;973931154796457984;False;15445;Twitter for iPhone;We cannot keep a blind eye to the rampant unfair trade practices against our Country!;-0.281;['hearing', 'morning', 'Thank']
